,city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
1769739,Brussels,Brussels,Bruxelles|Brussel|Brüssel,50.8467,4.3525,Belgium,BE,BEL,Brussels-Capital Region,Brussels-Capital Region,BE-BRU,region,primary,7465.2,1235192.0,1235192.0,1,Europe/Brussels,False,1056469830
1769740,Antwerp,Antwerp,Anvers|Antwerpen,51.2178,4.4003,Belgium,BE,BEL,Flanders,Flanders,BE-VLG,region,minor,2600.0,536079.0,536079.0,2,Europe/Brussels,False,1056168623
1769741,Gent,Gent,Gand|Ghent,51.0536,3.7253,Belgium,BE,BEL,Flanders,Flanders,BE-VLG,region,minor,1680.2,265086.0,265086.0,2,Europe/Brussels,False,1056062897
1769742,Charleroi,Charleroi,,50.4,4.4333,Belgium,BE,BEL,Wallonia,Wallonia,BE-WAL,region,minor,1977.0,201816.0,201816.0,2,Europe/Brussels,False,1056263311
1769743,Liège,Liege,Lige|Lüttich|Leodicum|Luik,50.6397,5.5706,Belgium,BE,BEL,Wallonia,Wallonia,BE-WAL,region,minor,2844.5,195278.0,195278.0,2,Europe/Brussels,False,1056513284
1769744,Schaarbeek,Schaarbeek,Schaerbeek,50.8675,4.3736,Belgium,BE,BEL,Brussels-Capital Region,Brussels-Capital Region,BE-BRU,region,,20741.6,132799.0,132799.0,2,Europe/Brussels,False,1056091146
1769745,Anderlecht,Anderlecht,,50.8333,4.3333,Belgium,BE,BEL,Brussels-Capital Region,Brussels-Capital Region,BE-BRU,region,,6814.4,120887.0,120887.0,2,Europe/Brussels,False,1056297471
1769746,Bruges,Bruges,Brugge|Bruges,51.2089,3.2242,Belgium,BE,BEL,Flanders,Flanders,BE-VLG,region,minor,858.8,118509.0,118509.0,2,Europe/Brussels,False,1056953902
1769747,Namur,Namur,Namen,50.4667,4.8667,Belgium,BE,BEL,Wallonia,Wallonia,BE-WAL,region,admin,631.4,110939.0,110939.0,2,Europe/Brussels,False,1056954156
1769748,Moortebeek,Moortebeek,,50.8547,4.3386,Belgium,BE,BEL,Flanders,Flanders,BE-VLG,region,,10745.3,97979.0,97979.0,2,Europe/Brussels,False,1056103437
1769749,Mons,Mons,Bergen,50.455,3.952,Belgium,BE,BEL,Wallonia,Wallonia,BE-WAL,region,minor,645.8,95299.0,95299.0,3,Europe/Brussels,True,1056836704
1769750,Aalst,Aalst,Alost,50.9383,4.0392,Belgium,BE,BEL,Flanders,Flanders,BE-VLG,region,minor,1127.0,88854.0,88854.0,3,Europe/Brussels,False,1056695813
1769751,Mechelen,Mechelen,Malines,51.0278,4.4806,Belgium,BE,BEL,Flanders,Flanders,BE-VLG,region,minor,2578.5,86921.0,86921.0,2,Europe/Brussels,False,1056687706
1769752,Deurne,Deurne,,51.2247,4.4625,Belgium,BE,BEL,Flanders,Flanders,BE-VLG,region,,6313.9,82270.0,82270.0,2,Europe/Brussels,False,1056636125
